PUMFID,LM_30,LM_35A,LM35BCDE,LM_35F,LM_35G,LM_40,MH_05,MH_15A,MH_15B,MH_15C,MH_15D,MH_15E,MH_15F,MH_15G,BH_20A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,BH_20N,BH_35A,BH_35B,BH_35C,BH_35D,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,BH_110,BH_115,HHLDSIZC,AGEGRP,IMMIGRNC,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,ANXDVGAD,ANXDVSEV,ANXDVGAC,MHDVMHI,PFSCDV,RURURB,PERS_WGT,VERDATE
9420,6,2,2,2,1,5,4,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,3,4,4,4,4,3,3,3,3,3,3,1,3,1,1,3,1,1,2,1,4,4,1,9,4,4,1,2,1,0,1,2622.5092,05/06/2020
9421,5,2,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,3,9,4,1,3,3,3,3,3,3,3,1,2,1,5,1,1,0,3,3,4,9,1,3,1,2,3,0,2,4654.2999,05/06/2020
9422,6,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2,5,2,5,1,2,0,1,1,1,9,4,0,0,2,4,0,2,4411.8464,05/06/2020
9423,2,2,2,1,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,3,4,3,3,2,3,3,2,2,1,3,3,1,2,1,2,2,2,1,3,1,7,4,3,7,2,2,1,0,2,2548.4272,05/06/2020
9424,4,2,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,3,3,3,1,3,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,5,2,1,4,1,2,3,1,1,2400.923,05/06/2020
9425,3,2,2,2,1,4,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,9,3,3,9,3,3,3,3,1,1,3,3,1,1,1,6,1,1,0,3,3,2,4,3,0,0,2,3,0,2,3826.1925,05/06/2020
9426,6,2,2,1,2,2,3,3,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,1,1,2,5,1,2,0,1,1,1,9,4,7,2,2,2,0,1,19501.849,05/06/2020
9427,4,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,3,4,4,4,4,3,3,3,2,3,1,3,3,1,1,1,2,2,1,0,4,2,6,1,1,0,0,2,3,0,2,16273.0703,05/06/2020
9428,6,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,1,1,3,3,2,2,4,2,1,2,0,4,1,4,9,4,7,2,2,2,2,2,10685.6607,05/06/2020
9429,3,2,2,2,1,3,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,3,3,3,3,1,1,1,3,2,3,1,6,1,1,0,3,1,6,4,2,1,1,2,4,0,2,4832.987,05/06/2020
9430,6,2,2,2,1,5,3,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,4,4,1,1,3,3,1,1,1,1,3,1,1,2,2,2,2,1,1,3,7,9,4,3,1,2,2,0,2,11810.2455,05/06/2020
9431,1,2,2,1,2,2,4,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,3,4,4,3,4,3,9,9,1,1,3,9,9,2,2,2,6,1,2,0,1,1,6,4,3,6,2,2,1,0,2,1576.9025,05/06/2020
9432,6,2,2,2,1,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,3,4,3,4,4,3,3,3,1,1,1,3,3,1,2,2,6,1,1,0,2,1,4,9,4,0,0,2,3,0,2,18333.3769,05/06/2020
9433,6,2,2,2,1,4,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,2,2,1,6,1,1,0,4,1,6,9,4,0,0,2,4,0,2,1149.4639,05/06/2020
9434,5,2,2,2,1,4,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,4,3,3,4,1,3,3,3,1,3,3,3,1,3,1,5,1,2,0,4,1,2,1,1,2,1,2,3,0,2,1212.3297,05/06/2020
9435,6,2,2,2,1,4,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,1,9,9,9,1,1,1,9,1,2,2,7,1,2,0,1,1,4,9,4,4,1,2,3,0,1,2503.0192,05/06/2020
9436,5,2,2,2,1,4,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,4,4,4,4,4,1,3,3,1,1,1,1,3,3,3,2,4,1,1,0,1,1,2,3,1,4,1,2,3,0,2,4737.3679,05/06/2020
9437,5,2,2,2,1,4,2,1,1,1,1,4,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,4,3,4,4,1,3,3,3,1,1,3,3,1,5,2,5,1,2,0,1,1,4,3,1,4,1,2,3,0,2,1480.3935,05/06/2020
9438,6,2,2,2,1,4,3,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,3,2,4,3,3,3,3,1,1,3,3,2,4,2,6,1,2,0,2,3,7,9,4,3,1,2,2,0,2,2961.5859,05/06/2020
9439,6,2,2,1,2,2,4,4,3,4,4,4,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,3,3,3,3,3,3,3,3,1,1,1,3,1,2,1,2,1,2,0,3,3,7,9,4,16,4,1,1,0,2,6791.5088,05/06/2020
9440,6,2,2,2,1,4,3,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,4,3,4,4,3,3,3,3,3,3,3,3,4,4,2,6,1,2,0,1,1,4,9,4,0,0,2,2,0,2,3545.1508,05/06/2020
9441,4,2,2,2,1,4,2,3,3,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,1,4,4,4,2,1,3,3,3,3,1,3,3,1,1,2,4,1,2,1,2,1,4,1,1,6,2,2,3,0,2,4848.9962,05/06/2020
9442,6,2,2,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,1,4,4,4,3,3,3,3,3,3,3,3,1,1,1,6,1,1,0,3,2,6,9,4,6,2,2,3,0,2,4390.9195,05/06/2020
9443,4,2,2,2,1,4,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,4,4,4,4,3,3,3,1,3,1,3,3,2,3,2,5,1,2,0,1,1,2,3,1,0,0,2,3,0,1,1577.6514,05/06/2020
9444,5,2,2,2,1,4,2,2,2,3,2,1,2,3,1,2,2,1,1,1,1,1,1,2,2,2,2,2,3,1,3,3,3,2,3,3,1,1,1,3,1,1,1,2,6,2,2,0,1,1,5,2,1,8,2,2,3,0,2,2134.8799,05/06/2020
9445,6,2,2,2,1,4,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,3,4,3,4,4,3,3,3,3,3,1,1,3,2,2,2,5,1,1,0,1,1,6,9,4,4,1,2,3,0,2,7179.3189,05/06/2020
9446,6,2,2,2,1,4,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,4,1,3,4,1,3,3,3,3,3,3,3,1,1,3,5,1,2,0,1,1,6,9,4,2,1,2,4,0,2,22193.2856,05/06/2020
9447,5,2,2,2,1,4,3,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,3,3,4,1,3,3,1,3,3,3,1,1,3,2,3,1,2,0,1,1,4,1,1,3,1,2,2,0,2,10965.5214,05/06/2020
9448,3,2,2,2,1,2,4,3,2,2,3,2,3,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,3,4,3,3,3,3,3,3,1,1,1,3,1,1,4,2,3,1,2,1,2,1,6,4,2,10,3,1,1,0,2,13743.9271,05/06/2020
9449,4,2,2,2,1,4,3,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,4,3,3,4,3,3,3,3,1,1,3,3,3,3,1,3,1,2,0,4,3,7,1,1,6,2,2,2,0,2,1204.2356,05/06/2020
9450,6,2,2,2,1,4,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,3,4,4,2,4,3,3,3,3,1,1,1,3,2,3,1,7,1,2,0,3,1,4,9,4,0,0,2,3,0,2,1161.1821,05/06/2020
9451,6,2,2,2,1,3,3,2,2,2,1,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,3,2,2,3,3,2,1,3,1,1,3,1,3,3,1,1,1,1,4,1,2,9,4,8,2,2,2,0,2,11516.3185,05/06/2020
9452,9,2,2,2,1,4,3,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,4,1,4,4,3,3,3,3,1,1,3,3,1,2,2,6,1,2,0,1,4,2,9,9,21,4,1,2,0,2,8184.0901,05/06/2020
9453,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,2,9,9,3,3,3,3,1,1,3,3,4,5,3,5,1,1,0,1,1,5,4,3,0,0,2,3,3,2,1842.8804,05/06/2020
9454,6,2,2,2,1,3,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,4,2,4,4,1,3,3,1,1,1,1,2,1,2,1,1,1,1,0,4,2,4,9,4,0,0,2,3,0,2,1261.9703,05/06/2020
